,class,text
Genesis.txt_58,old_testament, and there came one that had escaped and told abram the hebrew for he dwelt in the plain of mamre the amorite brother of eshcol and brother of aner and these were confederate with abram and when abram heard that his brother was taken captive he armed his trained servants born in his own house three hundred and eighteen and pursued them unto dan and he divided himself against them he and his servants by night and smote them and pursued them unto hobah which is on the left hand of damascus and he brought back all the goods and also brought again his brother lot and his goods and the women also and the people 
Matthew.txt_136,new_testament, and as they were eating jesus took bread and blessed it and brake it and gave it to the disciples and said take eat this is my body and he took the cup and gave thanks and gave it to them saying drink ye all of it for this is my blood of the new testament which is shed for many for the remission of sins but i say unto you i will not drink henceforth of this fruit of the vine until that day when i drink it new with you in my father s kingdom and when they had sung an hymn they went out into the mount of olives then saith jesus unto them all ye shall be offended because of me this night for it is written i will smite the shepherd and the sheep of the flock shall be scattered abroad but after i am risen again i will go before you into galilee peter answered and said unto him though all men shall be offended because of thee yet will i never be offended jesus said unto him verily i say unto thee that this night before the cock crow thou shalt deny me thrice peter said unto him though i should die with thee yet will i not deny thee likewise also said all the disciples 
Isaiah.txt_98,old_testament, and the multitude of all the nations that fight against ariel even all that fight against her and her munition and that distress her shall be as a dream of a night vision it shall even be as when an hungry man dreameth and behold he eateth but he awaketh and his soul is empty or as when a thirsty man dreameth and behold he drinketh but he awaketh and behold he is faint and his soul hath appetite so shall the multitude of all the nations be that fight against mount zion stay yourselves and wonder cry ye out and cry they are drunken but not with wine they stagger but not with strong drink for the lord hath poured out upon you the spirit of deep sleep and hath closed your eyes the prophets and your rulers the seers hath he covered and the vision of all is become unto you as the words of a book that is sealed which men deliver to one that is learned saying read this i pray thee and he saith i cannot for it is sealed and the book is delivered to him that is not learned saying read this i pray thee and he saith i am not learned 
Baruch.txt_32,old_testament, and now o lord god of israel that hast brought thy people out of the land of egypt with a mighty hand and high arm and with signs and with wonders and with great power and hast gotten thyself a name as appeareth this day 
Num.txt_167,old_testament, and moses spake unto the lord saying let the lord the god of the spirits of all flesh set a man over the congregation which may go out before them and which may go in before them and which may lead them out and which may bring them in that the congregation of the lord be not as sheep which have no shepherd 
Luke.txt_86,new_testament, and he said a certain man had two sons and the younger of them said to his father father give me the portion of goods that falleth to me and he divided unto them his living and not many days after the younger son gathered all together and took his journey into a far country and there wasted his substance with riotous living and when he had spent all there arose a mighty famine in that land and he began to be in want and he went and joined himself to a citizen of that country and he sent him into his fields to feed swine and he would fain have filled his belly with the husks that the swine did eat and no man gave unto him and when he came to himself he said how many hired servants of my father s have bread enough and to spare and i perish with hunger i will arise and go to my father and will say unto him father i have sinned against heaven and before thee and am no more worthy to be called thy son make me as one of thy hired servants and he arose and came to his father but when he was yet a great way off his father saw him and had compassion and ran and fell on his neck and kissed him and the son said unto him father i have sinned against heaven and in thy sight and am no more worthy to be called thy son but the father said to his servants bring forth the best robe and put it on him and put a ring on his hand and shoes on his feet and bring hither the fatted calf and kill it and let us eat and be merry for this my son was dead and is alive again he was lost and is found and they began to be merry now his elder son was in the field and as he came and drew nigh to the house he heard musick and dancing and he called one of the servants and asked what these things meant and he said unto him thy brother is come and thy father hath killed the fatted calf because he hath received him safe and sound and he was angry and would not go in therefore came his father out and intreated him and he answering said to his father lo these many years do i serve thee neither transgressed i at any time thy commandment and yet thou never gavest me a kid that i might make merry with my friends but as soon as this thy son was come which hath devoured thy living with harlots thou hast killed for him the fatted calf and he said unto him son thou art ever with me and all that i have is thine it was meet that we should make merry and be glad for this thy brother was dead and is alive again and was lost and is found 
Matthew.txt_118,new_testament, the same day came to him the sadducees which say that there is no resurrection and asked him saying master moses said if a man die having no children his brother shall marry his wife and raise up seed unto his brother now there were with us seven brethren and the first when he had married a wife deceased and having no issue left his wife unto his brother likewise the second also and the third unto the seventh and last of all the woman died also therefore in the resurrection whose wife shall she be of the seven for they all had her jesus answered and said unto them ye do err not knowing the scriptures nor the power of god for in the resurrection they neither marry nor are given in marriage but are as the angels of god in heaven but as touching the resurrection of the dead have ye not read that which was spoken unto you by god saying i am the god of abraham and the god of isaac and the god of jacob god is not the god of the dead but of the living and when the multitude heard this they were astonished at his doctrine 
Acts.txt_27,new_testament, and saul was consenting unto his death and at that time there was a great persecution against the church which was at jerusalem and they were all scattered abroad throughout the regions of judaea and samaria except the apostles and devout men carried stephen to his burial and made great lamentation over him as for saul he made havock of the church entering into every house and haling men and women committed them to prison therefore they that were scattered abroad went every where preaching the word then philip went down to the city of samaria and preached christ unto them and the people with one accord gave heed unto those things which philip spake hearing and seeing the miracles which he did for unclean spirits crying with loud voice came out of many that were possessed with them and many taken with palsies and that were lame were healed and there was great joy in that city but there was a certain man called simon which beforetime in the same city used sorcery and bewitched the people of samaria giving out that himself was some great one to whom they all gave heed from the least to the greatest saying this man is the great power of god and to him they had regard because that of long time he had bewitched them with sorceries but when they believed philip preaching the things concerning the kingdom of god and the name of jesus christ they were baptized both men and women then simon himself believed also and when he was baptized he continued with philip and wondered beholding the miracles and signs which were done now when the apostles which were at jerusalem heard that samaria had received the word of god they sent unto them peter and john who when they were come down prayed for them that they might receive the holy ghost for as yet he was fallen upon none of them only they were baptized in the name of the lord jesus then laid they their hands on them and they received the holy ghost and when simon saw that through laying on of the apostles hands the holy ghost was given he offered them money saying give me also this power that on whomsoever i lay hands he may receive the holy ghost but peter said unto him thy money perish with thee because thou hast thought that the gift of god may be purchased with money thou hast neither part nor lot in this matter for thy heart is not right in the sight of god repent therefore of this thy wickedness and pray god if perhaps the thought of thine heart may be forgiven thee for i perceive that thou art in the gall of bitterness and in the bond of iniquity then answered simon and said pray ye to the lord for me that none of these things which ye have spoken come upon me and they when they had testified and preached the word of the lord returned to jerusalem and preached the gospel in many villages of the samaritans and the angel of the lord spake unto philip saying arise and go toward the south unto the way that goeth down from jerusalem unto gaza which is desert and he arose and went and behold a man of ethiopia an eunuch of great authority under candace queen of the ethiopians who had the charge of all her treasure and had come to jerusalem for to worship was returning and sitting in his chariot read esaias the prophet then the spirit said unto philip go near and join thyself to this chariot and philip ran thither to him and heard him read the prophet esaias and said understandest thou what thou readest and he said how can i except some man should guide me and he desired philip that he would come up and sit with him the place of the scripture which he read was this he was led as a sheep to the slaughter and like a lamb dumb before his shearer so opened he not his mouth in his humiliation his judgment was taken away and who shall declare his generation for his life is taken from the earth and the eunuch answered philip and said i pray thee of whom speaketh the prophet this of himself or of some other man then philip opened his mouth and began at the same scripture and preached unto him jesus and as they went on their way they came unto a certain water and the eunuch said see here is water what doth hinder me to be baptized and philip said if thou believest with all thine heart thou mayest and he answered and said i believe that jesus christ is the son of god and he commanded the chariot to stand still and they went down both into the water both philip and the eunuch and he baptized him and when they were come up out of the water the spirit of the lord caught away philip that the eunuch saw him no more and he went on his way rejoicing but philip was found at azotus and passing through he preached in all the cities till he came to caesarea 
Song.txt_5,old_testament, o my dove that art in the clefts of the rock in the secret places of the stairs let me see thy countenance let me hear thy voice for sweet is thy voice and thy countenance is comely take us the foxes the little foxes that spoil the vines for our vines have tender grapes 
Rev.txt_12,new_testament, and i saw when the lamb opened one of the seals and i heard as it were the noise of thunder one of the four beasts saying come and see and i saw and behold a white horse and he that sat on him had a bow and a crown was given unto him and he went forth conquering and to conquer and when he had opened the second seal i heard the second beast say come and see and there went out another horse that was red and power was given to him that sat thereon to take peace from the earth and that they should kill one another and there was given unto him a great sword and when he had opened the third seal i heard the third beast say come and see and i beheld and lo a black horse and he that sat on him had a pair of balances in his hand and i heard a voice in the midst of the four beasts say a measure of wheat for a penny and three measures of barley for a penny and see thou hurt not the oil and the wine and when he had opened the fourth seal i heard the voice of the fourth beast say come and see and i looked and behold a pale horse and his name that sat on him was death and hell followed with him and power was given unto them over the fourth part of the earth to kill with sword and with hunger and with death and with the beasts of the earth and when he had opened the fifth seal i saw under the altar the souls of them that were slain for the word of god and for the testimony which they held and they cried with a loud voice saying how long o lord holy and true dost thou not judge and avenge our blood on them that dwell on the earth and white robes were given unto every one of them and it was said unto them that they should rest yet for a little season until their fellowservants also and their brethren that should be killed as they were should be fulfilled and i beheld when he had opened the sixth seal and lo there was a great earthquake and the sun became black as sackcloth of hair and the moon became as blood and the stars of heaven fell unto the earth even as a fig tree casteth her untimely figs when she is shaken of a mighty wind and the heaven departed as a scroll when it is rolled together and every mountain and island were moved out of their places and the kings of the earth and the great men and the rich men and the chief captains and the mighty men and every bondman and every free man hid themselves in the dens and in the rocks of the mountains and said to the mountains and rocks fall on us and hide us from the face of him that sitteth on the throne and from the wrath of the lamb for the great day of his wrath is come and who shall be able to stand 
